Location in well All,Location in well Heatshock,Location in well Dark flashes,Location in well Morning 2,Location in well Morning transition 2,Location in well Night 2b,Location in well Night stimulation,Location in well Night 2,Location in well Night transition,Location in well Evening,Location in well Taps,Location in well Day baseline,Location in well Morning stimulation,Location in well Morning transition 1,Location in well Night 1,Features of movement All,Features of movement Heatshock,Features of movement Dark flashes,Features of movement Morning 2,Features of movement Morning transition 2,Features of movement Night 2b,Features of movement Night stimulation,Features of movement Night 2,Features of movement Night transition,Features of movement Evening,Features of movement Taps,Features of movement Day baseline,Features of movement Morning stimulation,Features of movement Morning transition 1,Features of movement Night 1,Frequency of movement All,Frequency of movement Heatshock,Frequency of movement Dark flashes,Frequency of movement Morning 2,Frequency of movement Morning transition 2,Frequency of movement Night 2b,Frequency of movement Night stimulation,Frequency of movement Night 2,Frequency of movement Night transition,Frequency of movement Evening,Frequency of movement Taps,Frequency of movement Day baseline,Frequency of movement Morning stimulation,Frequency of movement Morning transition 1,Frequency of movement Night 1
cnksr2,0.14241166,-0.137,0.26425,0.457375,-0.477497055,0.290625,-0.121625,-0.31525,0.281216423,0.156375,0.422625,0.27925,0.314125,0.500545146,0.449,-0.513115833,0.396642857,-0.458,-0.324428571,-0.514603747,-0.532857143,-0.5885,-0.347,-0.512186449,-0.464785714,-0.04075,-0.562,-0.019833333,0.315711122,-0.540642857,0.024185614,0.0248,0.0095,0.01525,0.208782526,0.255416667,0.347166667,0.024,-0.468696,0.008777778,0.026166667,0.092166667,0.019,0.486851398,-0.248583333
cnnm2,0.006488687,0.124875,0.01325,0.01,0.013032428,-0.12175,0.0075,0.1515,0.129540976,0.116125,0.008714286,0.1195,0.0055,0.230381789,0.141125,-0.005554039,0.008714286,-0.012,0.014,-0.396723847,0.015,0.0348,0.0035,0.399328007,-0.025142857,-0.001,0.257357143,-0.0095,0.339751571,-0.0025,0.013421429,0.0102,0.0076,-0.2015,0.0225,-0.019,-0.0112,-0.0045,-0.0045,0.012,0.008333333,0.019714286,0.196416667,-0.009050092,0.00625
cntn4,0.816556969,0.8525,0.152375,0.370125,0.541225705,0.767,-0.604125,0.3955,0.458705981,0.758,0.772875,0.3495,0.2785,0.0185,-0.83825,0.533573455,-0.627642857,0.579071429,0.240357143,0.555265607,0.297714286,0.399214286,0.467071429,-0.523757526,0.474642857,0.602857143,0.467785714,0.0105,0.435118258,0.0204,0.683353206,-0.721583333,0.367583333,-0.619166667,-0.448063693,-0.721166667,-0.291666667,0.68325,-0.438812035,0.4925,0.43875,-0.552166667,0.728583333,0.450297616,0.50175
csmd1,0.169252573,0.58825,0.289,0.45975,0.406317614,0.315625,0.34575,0.209875,0.335356088,0.0985,0.0775,0.371625,0.367375,0.017918828,0.3055,-0.316353895,-0.017125,-0.411428571,0.511142857,-0.396573145,-0.017833333,0.500928571,0.384,-0.405897851,-0.306857143,-0.395857143,0.467,0.02,0.036987653,-0.259142857,-0.019022974,-0.413416667,-0.303166667,-0.445333333,-0.40012899,-0.272666667,0.357333333,0.0154,-0.47073735,-0.0098,-0.007,-0.0154,-0.159333333,0.200212097,0.255333333
csmd3,-0.033020504,0.61,-0.345,-0.655875,-0.013640526,0.56175,0.446875,-0.44325,0.542738136,-0.094125,-0.025,-0.014166667,-0.453,-0.309228514,-0.0244,-0.021523209,-0.022166667,-0.025,-0.019333333,0.023355752,-0.187071429,-0.395857143,-0.006375,-0.023457172,-0.014,-0.330214286,0.016857143,0.004625,0.430641879,0.379928571,-0.006516363,-0.280583333,-0.029,-0.015857143,-0.011484846,-0.0075,-0.017333333,-0.006625,-0.295880678,-0.0165,-0.008166667,-0.012555556,-0.224416667,-0.023248023,-0.0095
cyp17a1,0.478743139,0.544,0.355625,0.3235,-0.675715374,-0.6385,-0.530125,-0.355875,0.456909404,0.26475,0.556375,0.019166667,0.3635,0.346421898,-0.034,0.543012047,0.698785714,-0.3985,-0.643142857,0.514095797,0.475428571,0.697714286,-0.488285714,-0.438973397,0.465357143,0.417214286,-0.403785714,0.443357143,-0.453660177,0.554214286,0.375711882,0.533166667,0.290833333,0.46575,0.561621923,0.401666667,0.628166667,0.602583333,-0.626047323,0.33075,0.289,-0.438166667,0.594583333,0.567295411,0.367333333
dgki,-0.205631222,-0.728,-0.085,-0.252875,-0.357084749,0.520125,-0.397125,-0.730125,-0.572235643,-0.69975,-0.741875,0.564625,0.232625,-0.670873674,-0.584125,0.512644694,0.583142857,0.612785714,0.693071429,0.380867149,0.442928571,0.363857143,-0.616357143,0.472144331,0.757142857,0.357,0.577071429,-0.279928571,0.441748879,0.577928571,-0.575629687,0.645833333,0.84775,0.666,-0.5562859,0.2785,-0.66375,0.655333333,-0.596342608,0.397916667,0.26625,0.563166667,0.00675,-0.52352684,-0.613833333
dgkz,0.1258587,0.2555,0.16225,0.259375,0.15658419,0.314375,-0.253375,0.645875,0.442394387,0.023333333,0.16175,0.309375,0.38225,0.154223363,-0.549875,0.009583392,0.009333333,0.001833333,0.009,0.008706727,-0.28,0.019333333,0.008375,0.014760496,-0.240571429,0.0205,-0.015666667,0.01475,-0.34783398,-0.0055,-0.009603224,-0.392666667,-0.314083333,-0.08175,-0.261212782,-0.38925,-0.025,-0.0072,-0.013369934,-0.237333333,-0.012,-0.28325,-0.499,-0.407304766,-0.015
doc2a,-0.389463292,-0.568375,0.735125,-0.201125,-0.426670999,-0.2195,-0.143875,-0.209875,-0.352805057,-0.3135,-0.57125,-0.61775,-0.733125,0.67356729,0.490875,-0.674442773,-0.474428571,-0.233571429,-0.0266,-0.438001544,-0.611785714,0.567428571,0.382785714,-0.322101094,-0.507071429,-0.416928571,0.426,-0.036,-0.425933762,-0.521,-0.391118127,-0.518416667,0.325833333,0.704083333,-0.47451082,0.234666667,-0.212833333,-0.455083333,-0.011343504,-0.471166667,-0.49275,0.486583333,-0.586916667,-0.373801002,0.28125
dpyd,0.162748222,0.439,0.27175,-0.541875,0.193510843,0.373625,-0.31825,0.58375,-0.565353384,0.096625,-0.299,0.092,0.259625,0.03325,0.271625,-0.285289203,-0.376642857,0.013,0.013333333,0.515712895,-0.270642857,0.449714286,0.461571429,-0.537697943,-0.313428571,-0.432285714,0.266357143,0.0174,0.428814801,0.022833333,0.016780131,0.0148,0.02675,0.324833333,0.408856261,0.163083333,-0.235833333,-0.231416667,0.427998612,0.277833333,0.258666667,0.355666667,0.447416667,-0.481887586,0.003
egr1,-0.109032675,-0.14275,-0.0275,0.0118,-0.146878729,-0.284,0.23475,-0.300875,0.244681881,-0.0035,0.107625,0.014,-0.12175,-0.153317463,-0.027875,0.028558466,0.419285714,0.023,0.01925,-0.312034434,-0.02425,-0.3965,0.279571429,0.331540091,-0.019833333,0.0312,0.024,0.002857143,-0.007811009,-0.176285714,-0.012234279,0.342083333,-0.0135,-0.127333333,-0.290639147,-0.356166667,0.357833333,0.014714286,0.007924301,-0.0015,-0.00625,-0.001545455,-0.00475,0.02425,0.0104
elfn1,-0.006395511,-0.00275,-0.007166667,-0.26575,0.208528313,0.00425,0.0104,0.27225,0.249932058,-0.0135,-0.001875,-0.00125,-0.0202,-0.154270941,-0.015125,0.009107583,0.008857143,0.0099,0.006833333,-0.0162285,0.00175,0.017,0.0055,-0.017340651,0.006,-0.009714286,0.0018,0.00725,-0.357762816,0.002125,0.018989528,0.00225,-0.009,-0.012555556,-0.034663743,-0.01,0.006,0.001,0.010858648,-0.2475,-0.027142857,0.009285714,0.0074,-0.017767502,0.011
